,ea_id,obs_year,obs_monthnum,mzprice_lag1,mzprice_lag2,mzprice_lag3,mzprice_lag4,mzprice_lag5,mzprice_lag6,mzprice_lag7,mzprice_lag8,mzprice_lag9,mzprice_lag10,mzprice_lag11,mzprice_lag12
1721,30620617,2020,1,280.80023193359375,268.84222412109375,242.98590087890625,239.98020935058594,216.64137268066406,185.14315795898438,163.32998657226562,140.70849609375,174.0664520263672,290.30780029296875,320.57464599609375,323.2120056152344
1722,30620644,2010,11,32.49812698364258,32.814640045166016,36.382965087890625,32.40657043457031,39.600006103515625,35.790061950683594,31.980127334594727,35.873687744140625,33.08291244506836,32.58243942260742,43.44351577758789,54.30459976196289
1723,30620661,2016,9,245.4326629638672,241.91473388671875,229.72723388671875,191.9070281982422,144.9256591796875,190.9896697998047,203.93016052246094,239.55462646484375,178.3467254638672,160.2032012939453,152.3428955078125,143.55641174316406
1724,30620662,2017,3,134.1172332763672,110.96324920654297,237.76988220214844,233.8311004638672,233.85865783691406,237.51861572265625,245.43345642089844,244.138671875,230.4785919189453,190.84945678710938,145.46624755859375,190.9463653564453
1725,30701411,2010,11,33.542301177978516,34.318477630615234,36.616180419921875,33.5302619934082,35.309600830078125,32.24372863769531,29.1778621673584,36.443912506103516,33.762752532958984,32.267433166503906,38.70683288574219,45.1462287902832
1726,30701618,2019,10,239.88706970214844,234.4521484375,189.93898010253906,163.32998657226562,142.68191528320312,176.0179901123047,290.53497314453125,326.64385986328125,330.07843017578125,163.77685546875,139.9622039794922,133.9666748046875
1727,30701663,2016,9,257.1596984863281,253.5771484375,240.40528869628906,191.75018310546875,141.9774169921875,187.2694091796875,210.14022827148438,241.9453125,195.59779357910156,160.48361206054688,159.67950439453125,157.32615661621094
1728,30702134,2011,2,70.64750671386719,33.730140686035156,33.3405647277832,33.600093841552734,35.00981140136719,36.69190979003906,33.74851989746094,37.01299285888672,33.095401763916016,29.17780113220215,36.44391632080078,33.822349548339844
1729,30702619,2020,3,189.61175537109375,212.0,271.1301574707031,276.1060791015625,238.2174835205078,238.81640625,234.45144653320312,189.93894958496094,163.32998657226562,142.64341735839844,175.27593994140625,295.2375793457031
1730,30702664,2017,4,137.28140258789062,131.22589111328125,116.6986312866211,243.5509796142578,247.14541625976562,247.5105438232422,251.81214904785156,257.0394592285156,253.85226440429688,240.49090576171875,191.75048828125,140.34344482421875
1731,30703381,2010,4,36.44395446777344,33.62329864501953,32.048458099365234,38.68782043457031,45.32719421386719,45.238136291503906,44.623497009277344,44.008846282958984,43.39419937133789,42.77955627441406,32.687599182128906,37.430240631103516
1732,30703620,2019,6,142.92059326171875,178.00662231445312,285.3613586425781,328.9744873046875,332.3228759765625,166.25608825683594,140.5522918701172,139.9149169921875,140.80181884765625,136.36697387695312,125.73538208007812,104.85449981689453
1733,30703665,2016,5,138.05926513671875,188.16017150878906,224.72828674316406,240.85122680664062,199.60777282714844,160.43289184570312,160.5015106201172,158.61212158203125,149.73988342285156,137.6142578125,126.4662094116211,116.44120788574219
1734,30703666,2017,1,242.5947723388672,244.98687744140625,247.77288818359375,250.13958740234375,254.59512329101562,254.86886596679688,239.63641357421875,194.01206970214844,143.72137451171875,189.42898559570312,204.01458740234375,239.68421936035156
1735,30704158,2010,12,32.960025787353516,33.47690200805664,33.89484786987305,36.560211181640625,32.61686706542969,35.29000473022461,32.234066009521484,29.17813491821289,36.44403839111328,33.8878173828125,32.1200065612793,38.687034606933594
1736,30704313,2010,9,34.905662536621094,32.615840911865234,35.238555908203125,32.352806091308594,29.467065811157227,36.443946838378906,33.61159133911133,32.048397064208984,38.778900146484375,45.509403228759766,45.23257827758789,44.5798454284668
1737,30704313,2013,9,123.9658432006836,108.478759765625,89.31500244140625,81.15689849853516,90.41239929199219,123.54869079589844,131.14013671875,158.52078247070312,82.86825561523438,73.91706848144531,67.90593719482422,71.45665740966797
1738,30704621,2019,11,246.7235107421875,249.2250518798828,238.70140075683594,189.93927001953125,163.32998657226562,143.0325164794922,179.19825744628906,284.7424621582031,330.1896057128906,333.5135498046875,166.58074951171875,140.54901123046875
1739,30704622,2019,8,189.93898010253906,163.32998657226562,142.55909729003906,175.75682067871094,288.195556640625,326.9449462890625,330.1797790527344,164.34967041015625,140.9603271484375,134.18576049804688,139.41445922851562,136.42091369628906
1740,30704667,2016,10,249.8207550048828,256.5404357910156,255.46897888183594,238.4561309814453,194.01097106933594,143.72064208984375,189.9044189453125,208.2899169921875,239.44871520996094,195.59835815429688,160.6409912109375,159.52951049804688
1741,30705248,2011,3,60.87956237792969,68.0226058959961,36.56999969482422,33.12407302856445,33.46003723144531,34.03354263305664,35.310523986816406,32.618072509765625,35.29000473022461,33.220367431640625,31.15073013305664,37.588592529296875
