ea_id,panel
10502730,0
10503204,0
10503205,0
10503206,0
10503211,0
10504198,0
10504207,0
10505151,0
10505199,0
10505200,0
10505201,0
10505208,0
10505209,0
10505210,0
10505231,0
10506127,0
10506202,0
10506203,0
10506204,0
10506211,0
10506212,0
10506548,0
10507205,0
10507213,0
10507214,0
10508206,0
10508207,0
10508215,0
10508216,0
10508369,0
10509208,0
10509217,0
10509474,0
10510209,0
10510218,0
10511210,0
10520219,0
10601211,0
10601212,0
10601220,0
10601221,0
10601222,0
10601223,0
10601224,0
10601225,0
10601226,0
10601227,0
10601228,0
10601229,0
10620230,0
10731213,0
10731231,0
10732047,0
10732070,0
10732214,0
10732232,0
10732233,0
10733215,0
10733234,0
10733235,0
10733465,0
10734216,0
10734217,0
10734236,0
10734237,0
10734238,0
10734239,0
10734393,0
10734407,0
10735130,0
10735240,0
10735241,0
10736053,0
10736174,0
10736218,0
10736242,0
10736243,0
10736244,0
10736245,0
10736377,0
10736466,0
10737199,0
10737219,0
10737220,0
10737221,0
10737246,0
10738222,0
10738223,0
10738224,0
10738247,0
10739225,0
10739226,0
10739248,0
10739309,0
10740227,0
10740228,0
10740229,0
10740230,0
10741249,0
10743250,0
10744039,0
10744154,0
10744251,0
10744252,0
10744253,0
10745234,0
10745235,0
10745236,0
10746254,0
20101014,0
20101237,0
20101255,0
20101256,0
20101387,0
20102238,0
20102257,0
20102311,0
20103239,0
20103258,0
20103365,0
20104240,0
20105073,0
20105181,0
20105259,0
20105260,0
20106241,0
20106242,0
20106261,0
20107243,0
20107262,0
20107263,0
20107490,0
20107615,0
20108264,0
20108739,0
20109244,0
20109245,0
20109265,0
20109486,0
20109653,0
20110170,0
20110246,0
20110266,0
20110267,0
20110268,0
20111107,0
20111269,0
20111270,0
20111271,0
20111530,0
20112247,0
20112272,0
20112273,0
20112274,0
20112290,0
20112334,0
20113248,0
20113275,0
20113276,0
20113529,0
20115249,0
20119250,0
20120081,0
20120251,0
20120277,0
20120278,0
20121252,0
20121253,0
20122254,0
20123255,0
20123256,0
20123257,0
20124258,0
20126259,0
20127260,0
20201109,0
20201206,0
20201261,0
20201262,0
20201263,0
20201264,0
20201265,0
20201266,0
20201269,0
20201279,0
20201280,0
20201281,0
20201282,0
20201283,0
20201284,0
20201285,0
20201354,0
20201450,0
20201646,0
20202268,0
20202286,0
20202343,0
20203135,0
20203269,0
20203287,0
20203288,0
20203289,0
20203290,0
20203291,0
20203494,0
20203656,0
20203694,0
20204124,0
20204270,0
20204271,0
20204272,0
20204292,0
20204293,0
20204712,0
20205273,0
20205294,0
20205295,0
20205296,0
20205297,0
20205298,0
20205484,0
20205525,0
20205634,0
20205700,0
20205721,0
20206243,0
20206274,0
20206275,0
20206276,0
20206277,0
20206278,0
20206279,0
20206280,0
20206299,0
20206300,0
20207281,0
20207282,0
20220038,0
20220153,0
20220283,0
20220301,0
20220302,0
20301075,0
20301284,0
20301303,0
20301304,0
20302285,0
20302286,0
20302305,0
20302306,0
20302432,0
20302592,0
20303287,0
20303288,0
20303289,0
20303290,0
20303291,0
20303292,0
20303307,0
20303308,0
20303309,0
20303447,0
20303654,0
20304084,0
20304164,0
20304285,0
20304293,0
20304294,0
20304310,0
20304311,0
20304312,0
20304313,0
20304314,0
20304315,0
20304662,0
20304680,0
20305023,0
20305172,0
20305295,0
20305296,0
20305297,0
20305298,0
20305299,0
20305316,0
20305317,0
20305318,0
20305319,0
20305320,0
20305321,0
20305340,0
20305382,0
20305717,0
20306272,0
20306296,0
20306300,0
20306322,0
20306323,0
20306324,0
20306325,0
20306433,0
20307301,0
20307302,0
20307303,0
20320304,0
20320326,0
