ea_id,lsms_distroad,lsms_distpopctr,lsms_distadmarc,lsms_distauc,lsms_distboma,lsms_distborder,lsms_agpct,lsms_lcvr,lsms_aez,lsms_elev,weight,pweight,hh_members,pop,panelpop,wave
20601626,.15384616,19.153847,1.4615384,19.153847,19.153847,58.153847,12.384615,122.30769,312,1073.8462,37612.95366410104,17376.80727885057,200,7522590.5,3475361.5,3
20602378,10,41.6875,5,41.6875,41.6875,68,22.875,48.75,312,1160,9385.9140625,0,66,619470.31,0,3
20602379,3.625,33.25,2.875,33.25,33.25,77.8125,24.6875,73.75,320.125,1210,8621.05078125,0,59,508642,0,3
20602380,2.125,31.6875,2.0625,31.6875,31.6875,82.0625,29.125,67.5,320.75,1187.5,6382.79345703125,0,59,376584.81,0,3
20602381,9.8125,45.6875,1.5625,45.6875,45.6875,74.625,21.25,126.25,312,1193.75,11976.416015625,0,83,994042.5,0,3
20603090,18.333334,30.666666,2.0416667,30.666666,30.666666,57.083332,5.0416665,132.91667,313.66666,1183.3334,63118.19799904028,38679.57591651124,126,7952893,4873626.5,3
20603382,11.4375,32.375,6.4375,32.375,32.375,89.5,13.5,103.125,312,1135.625,6861.62744140625,0,67,459729.03,0,3
20603383,3.6875,20.25,5.0625,20.25,20.25,81.75,12.75,130,312,1131.875,6485.29296875,0,70,453970.5,0,3
20603384,9.5625,17.8125,4.5625,17.8125,17.8125,68.8125,2.25,130,312,1148.75,11284.61328125,0,67,756069.06,0,3
20603385,18.875,32.25,3,32.25,32.25,62.5,15.375,117.5,322,1218.125,11285.8876953125,0,58,654581.5,0,3
20603386,17,34.5,6.375,34.5,34.5,67.875,23.125,80,312,1166.25,8424.9248046875,0,66,556045.06,0,3
20603387,23.625,39.875,4.5625,39.875,39.875,63.75,25,56.25,322,1226.25,10126.236328125,0,51,516438.06,0,3
20603388,17.8125,29.375,0,29.375,29.375,63,31.6875,30,312,1210,11788.4716796875,0,74,872346.88,0,3
20603533,17.058823,29.588236,1.0588236,29.588236,29.588236,63.35294,28.058823,48.235294,314.94116,1202.3529,26564.28123494683,16827.82496139625,109,2895506.8,1834232.9,3
20604389,13.125,31.5,4.4375,31.5,31.5,54.0625,19.5,98.75,312,1182.5,3871.303955078125,0,72,278733.88,0,3
20604390,8.375,21,1,21,21,59.6875,29.0625,61.25,312,1141.875,4444.99853515625,0,74,328929.91,0,3
20604391,.25,36.6875,12.875,36.6875,36.6875,41.375,7.5,130,312,1178.125,10418.603515625,0,70,729302.25,0,3
20605392,18,33.625,2.5,33.625,33.625,57.125,41.75,42.5,312,1171.875,11749.193359375,0,68,798945.13,0,3
20606393,29.6875,56.1875,.5,56.1875,56.1875,68.625,25.25,61.875,312,1108.75,4452.7216796875,0,76,338406.84,0,3
20606394,25.375,58.6875,5.5,58.6875,58.6875,56,25.1875,30,312,1086.25,7872.64501953125,0,64,503849.28,0,3
20606395,18,44.875,3.6875,44.875,44.875,64.75,28.25,80,312,1156.25,11361.1484375,0,71,806641.56,0,3
20607260,.58333331,14.166667,10.75,14.166667,14.166667,80.666664,21.208334,63.333332,312,1124.1666,19681.53689929369,11282.70626213827,131,2578281.3,1478034.5,3
20607315,.47999999,18.280001,8.8400002,18.280001,18.280001,81.639999,28.16,62,321.20001,1216,93235.94505301183,51307.25665933562,157,14638043,8055239.5,3
20607396,.4375,24.8125,3.9375,24.8125,24.8125,77.5,18.6875,123.75,312,1143.75,8133.3310546875,0,59,479866.53,0,3
20607397,2.4375,18.5625,7.0625,18.5625,18.5625,80.1875,15.25,130,319.5,1186.875,10015.3828125,0,63,630969.13,0,3
20608398,7,28.8125,10.5,28.8125,28.8125,99.875,20.875,111.25,322,1247.5,4606.451171875,0,68,313238.69,0,3
20609399,15.4375,28.4375,2.4375,28.4375,28.4375,93.125,28.625,73.75,322,1233.125,10632.166015625,0,62,659194.31,0,3
20610050,.83999997,28.120001,9.96,28.120001,28.120001,49.32,4.8000002,124.4,320.79999,1230.4,72293.47269785919,34908.44985999638,130,9398151,4538098.5,3
20610400,1.5625,21.5625,4.3125,21.5625,21.5625,55.6875,12,128.75,312,1124.375,8792.2158203125,0,59,518740.72,0,3
20610401,7.625,29.5,11.3125,29.5,29.5,48,39.75,30,322,1218.125,13737.7900390625,0,82,1126498.8,0,3
20611402,5,7,7,7,7,70.3125,7.875,190,312,1102.5,2437.2080078125,0,66,160855.73,0,3
20612403,2.75,14.0625,3.1875,14.0625,14.0625,64.875,7,130,312,1097.5,12197.8701171875,0,80,975829.63,0,3
20613404,1,7.0625,3,7.0625,7.0625,82.625,10.75,130,312,1099.375,8367.9375,0,63,527180.06,0,3
20614405,2,19.75,2.125,19.75,19.75,90.875,7,120,312,1141.875,7782.01416015625,0,73,568087.06,0,3
20614406,8.25,21.25,6.875,21.25,21.25,86.5625,6.25,130,312,1099.375,8552.724609375,0,68,581585.25,0,3
20614477,.64999998,26.9,4.5999999,26.9,26.9,85.199997,14.9,90.5,312.5,1187,10741.75318870266,6406.764095131963,138,1482362,884133.44,3
20615064,22.25,37.083332,2.9166667,37.083332,37.083332,74.625,15.166667,87.5,312,1173.3334,64979.29432303641,34702.54937642404,162,10526646,5621813,3
20615407,30.066668,41.866665,2.1333334,45.866665,41.866665,74.933334,12.866667,110,312,1088.6666,11397.19390869141,0,65,740817.63,0,3
20615408,21.25,31.9375,.9375,31.9375,31.9375,81.9375,30.625,61.25,312,1186.25,10439.998046875,0,65,678599.88,0,3
20615409,12.375,33.5,4.5625,33.5,33.5,75.8125,25.8125,63.125,312,1175.625,10851.671875,0,75,813875.38,0,3
20615410,14.0625,31,.8125,31,31,78.6875,32.75,30,312,1154.375,16917.478515625,0,73,1234975.9,0,3
