ea_id,district,region
20908329,Ntcheu,Central
20908441,Ntcheu,Central
20908442,Ntcheu,Central
20908476,Ntcheu,Central
20908477,Ntcheu,Central
20908478,Ntcheu,Central
20908479,Ntcheu,Central
20908480,Ntcheu,Central
20908481,Ntcheu,Central
20908538,Ntcheu,Central
20909113,Ntcheu,Central
20909443,Ntcheu,Central
20909444,Ntcheu,Central
20909482,Ntcheu,Central
20910445,Ntcheu,Central
20910446,Ntcheu,Central
20910447,Ntcheu,Central
20910448,Ntcheu,Central
20911449,Ntcheu,Central
20920450,Ntcheu,Central
20920520,Ntcheu,Central
20301075,Ntchisi,Central
20301284,Ntchisi,Central
20301303,Ntchisi,Central
20301304,Ntchisi,Central
20302285,Ntchisi,Central
20302286,Ntchisi,Central
20302305,Ntchisi,Central
20302306,Ntchisi,Central
20302432,Ntchisi,Central
20302539,Ntchisi,Central
20302592,Ntchisi,Central
20303065,Ntchisi,Central
20303287,Ntchisi,Central
20303288,Ntchisi,Central
20303289,Ntchisi,Central
20303290,Ntchisi,Central
20303291,Ntchisi,Central
20303292,Ntchisi,Central
20303307,Ntchisi,Central
20303308,Ntchisi,Central
20303309,Ntchisi,Central
20303447,Ntchisi,Central
20303654,Ntchisi,Central
20304084,Ntchisi,Central
20304164,Ntchisi,Central
20304285,Ntchisi,Central
20304293,Ntchisi,Central
20304294,Ntchisi,Central
20304310,Ntchisi,Central
20304311,Ntchisi,Central
20304312,Ntchisi,Central
20304313,Ntchisi,Central
20304314,Ntchisi,Central
20304315,Ntchisi,Central
20304662,Ntchisi,Central
20304680,Ntchisi,Central
20305023,Ntchisi,Central
20305172,Ntchisi,Central
20305295,Ntchisi,Central
20305296,Ntchisi,Central
20305297,Ntchisi,Central
20305298,Ntchisi,Central
20305299,Ntchisi,Central
20305301,Ntchisi,Central
20305316,Ntchisi,Central
20305317,Ntchisi,Central
20305318,Ntchisi,Central
20305319,Ntchisi,Central
20305320,Ntchisi,Central
20305321,Ntchisi,Central
20305340,Ntchisi,Central
20305382,Ntchisi,Central
20305717,Ntchisi,Central
20306272,Ntchisi,Central
20306296,Ntchisi,Central
20306300,Ntchisi,Central
20306322,Ntchisi,Central
20306323,Ntchisi,Central
20306324,Ntchisi,Central
20306325,Ntchisi,Central
20306433,Ntchisi,Central
20306557,Ntchisi,Central
20307301,Ntchisi,Central
20307302,Ntchisi,Central
20307303,Ntchisi,Central
20320304,Ntchisi,Central
20320326,Ntchisi,Central
20320675,Ntchisi,Central
30901029,Phalombe,South
30901054,Phalombe,South
30901193,Phalombe,South
30901253,Phalombe,South
30901275,Phalombe,South
30901320,Phalombe,South
30901380,Phalombe,South
30901409,Phalombe,South
30901475,Phalombe,South
30901550,Phalombe,South
30901569,Phalombe,South
30901603,Phalombe,South
30901665,Phalombe,South
30901666,Phalombe,South
30901667,Phalombe,South
30901668,Phalombe,South
30901669,Phalombe,South
30901670,Phalombe,South
30901711,Phalombe,South
30901712,Phalombe,South
30901713,Phalombe,South
30901714,Phalombe,South
30901715,Phalombe,South
30901716,Phalombe,South
30901717,Phalombe,South
30901718,Phalombe,South
30901719,Phalombe,South
30901720,Phalombe,South
30901721,Phalombe,South
30901722,Phalombe,South
30901723,Phalombe,South
30901724,Phalombe,South
30901725,Phalombe,South
30901726,Phalombe,South
30901732,Phalombe,South
30901756,Phalombe,South
30902236,Phalombe,South
30902299,Phalombe,South
30902346,Phalombe,South
30902425,Phalombe,South
30902606,Phalombe,South
30902671,Phalombe,South
30902672,Phalombe,South
30902673,Phalombe,South
30902727,Phalombe,South
30902728,Phalombe,South
30902729,Phalombe,South
30902730,Phalombe,South
30902731,Phalombe,South
30903114,Phalombe,South
30903528,Phalombe,South
30903674,Phalombe,South
30903675,Phalombe,South
30903732,Phalombe,South
30903733,Phalombe,South
30903734,Phalombe,South
30904676,Phalombe,South
30904677,Phalombe,South
30905678,Phalombe,South
30905679,Phalombe,South
30905680,Phalombe,South
30905681,Phalombe,South
30905682,Phalombe,South
30906683,Phalombe,South
30906684,Phalombe,South
30906685,Phalombe,South
30906686,Phalombe,South
30920609,Phalombe,South
10401140,Rumphi,North
10401169,Rumphi,North
10401170,Rumphi,North
10401171,Rumphi,North
10401172,Rumphi,North
10401173,Rumphi,North
10401174,Rumphi,North
10401175,Rumphi,North
10401176,Rumphi,North
10401177,Rumphi,North
10401178,Rumphi,North
10401179,Rumphi,North
10401180,Rumphi,North
10401212,Rumphi,North
10401424,Rumphi,North
10401502,Rumphi,North
10401522,Rumphi,North
10401541,Rumphi,North
10401604,Rumphi,North
10401635,Rumphi,North
10401742,Rumphi,North
10402181,Rumphi,North
10402537,Rumphi,North
10403175,Rumphi,North
10403176,Rumphi,North
10403177,Rumphi,North
10403182,Rumphi,North
10403183,Rumphi,North
10403332,Rumphi,North
10403488,Rumphi,North
10404179,Rumphi,North
10404184,Rumphi,North
10404185,Rumphi,North
10404186,Rumphi,North
10404707,Rumphi,North
10405180,Rumphi,North
10405181,Rumphi,North
10405187,Rumphi,North
10405213,Rumphi,North
10405404,Rumphi,North
10407068,Rumphi,North
10407182,Rumphi,North
10407183,Rumphi,North
10407188,Rumphi,North
10407189,Rumphi,North
10407190,Rumphi,North
10407194,Rumphi,North
10407628,Rumphi,North
10408185,Rumphi,North
10408191,Rumphi,North
10408192,Rumphi,North
10408441,Rumphi,North
10409186,Rumphi,North
10409468,Rumphi,North
10410187,Rumphi,North
10420001,Rumphi,North
10420035,Rumphi,North
10420080,Rumphi,North
10420189,Rumphi,North
10420193,Rumphi,North
10420194,Rumphi,North
10420195,Rumphi,North
20404342,Salima,Central
20501111,Salima,Central
20501326,Salima,Central
20501327,Salima,Central
20501328,Salima,Central
20501330,Salima,Central
20501351,Salima,Central
20501352,Salima,Central
20501353,Salima,Central
20501664,Salima,Central
20502159,Salima,Central
20502240,Salima,Central
20502329,Salima,Central
20502330,Salima,Central
20502331,Salima,Central
20502332,Salima,Central
20502354,Salima,Central
20502355,Salima,Central
20502356,Salima,Central
20502357,Salima,Central
20502740,Salima,Central
20502758,Salima,Central
20503239,Salima,Central
20503333,Salima,Central
20503358,Salima,Central
20503476,Salima,Central
20504334,Salima,Central
20504335,Salima,Central
20504359,Salima,Central
20504360,Salima,Central
20504373,Salima,Central
20504729,Salima,Central
20505317,Salima,Central
20505336,Salima,Central
20505337,Salima,Central
20505361,Salima,Central
20505362,Salima,Central
20505363,Salima,Central
20505648,Salima,Central
20506338,Salima,Central
20506339,Salima,Central
20506364,Salima,Central
20506412,Salima,Central
20507089,Salima,Central
20507340,Salima,Central
20507341,Salima,Central
20507342,Salima,Central
20507343,Salima,Central
20507365,Salima,Central
20507366,Salima,Central
20507367,Salima,Central
20507368,Salima,Central
20507369,Salima,Central
20507371,Salima,Central
20507422,Salima,Central
20507459,Salima,Central
20507571,Salima,Central
20508344,Salima,Central
20508345,Salima,Central
20508349,Salima,Central
20508370,Salima,Central
20508547,Salima,Central
20509346,Salima,Central
20509371,Salima,Central
20510584,Salima,Central
20520255,Salima,Central
20520347,Salima,Central
20520372,Salima,Central
20520373,Salima,Central
20520582,Salima,Central
20521348,Salima,Central
20521374,Salima,Central
30501579,Thyolo,South
30701411,Thyolo,South
30701618,Thyolo,South
30701663,Thyolo,South
30702134,Thyolo,South
30702619,Thyolo,South
30702664,Thyolo,South
30703381,Thyolo,South
30703620,Thyolo,South
30703665,Thyolo,South
30703666,Thyolo,South
30704158,Thyolo,South
30704313,Thyolo,South
30704621,Thyolo,South
30704622,Thyolo,South
30704667,Thyolo,South
30705248,Thyolo,South
30705391,Thyolo,South
30705623,Thyolo,South
30705624,Thyolo,South
30705668,Thyolo,South
30705669,Thyolo,South
30706619,Thyolo,South
30706625,Thyolo,South
30706626,Thyolo,South
30706670,Thyolo,South
30706671,Thyolo,South
30706743,Thyolo,South
30707534,Thyolo,South
30707627,Thyolo,South
30707628,Thyolo,South
30707672,Thyolo,South
30707673,Thyolo,South
30707722,Thyolo,South
30708338,Thyolo,South
30708629,Thyolo,South
30708630,Thyolo,South
30708665,Thyolo,South
30708674,Thyolo,South
30708675,Thyolo,South
30708676,Thyolo,South
30709116,Thyolo,South
30709358,Thyolo,South
