ea_id,district,distnum
20807455,Dedza,6
20807456,Dedza,6
20807711,Dedza,6
20807727,Dedza,6
20807728,Dedza,6
20808421,Dedza,6
20808427,Dedza,6
20808457,Dedza,6
20820318,Dedza,6
20820428,Dedza,6
20820458,Dedza,6
20401171,Dowa,7
20401305,Dowa,7
20401306,Dowa,7
20401327,Dowa,7
20401328,Dowa,7
20401329,Dowa,7
20401627,Dowa,7
20401737,Dowa,7
20402045,Dowa,7
20402072,Dowa,7
20402198,Dowa,7
20402201,Dowa,7
20402298,Dowa,7
20402307,Dowa,7
20402308,Dowa,7
20402309,Dowa,7
20402310,Dowa,7
20402311,Dowa,7
20402330,Dowa,7
20402331,Dowa,7
20402332,Dowa,7
20402333,Dowa,7
20402334,Dowa,7
20403049,Dowa,7
20403312,Dowa,7
20403313,Dowa,7
20403335,Dowa,7
20403336,Dowa,7
20403337,Dowa,7
20403338,Dowa,7
20403668,Dowa,7
20403697,Dowa,7
20404032,Dowa,7
20404314,Dowa,7
20404315,Dowa,7
20404316,Dowa,7
20404339,Dowa,7
20404340,Dowa,7
20404341,Dowa,7
20404509,Dowa,7
20404575,Dowa,7
20404660,Dowa,7
20405132,Dowa,7
20405317,Dowa,7
20405318,Dowa,7
20405319,Dowa,7
20405320,Dowa,7
20405343,Dowa,7
20405344,Dowa,7
20405345,Dowa,7
20405366,Dowa,7
20405704,Dowa,7
20406177,Dowa,7
20406321,Dowa,7
20406322,Dowa,7
20406323,Dowa,7
20406346,Dowa,7
20406347,Dowa,7
20406348,Dowa,7
20406598,Dowa,7
20407324,Dowa,7
20407349,Dowa,7
20407398,Dowa,7
20407481,Dowa,7
20421229,Dowa,7
20421325,Dowa,7
20421350,Dowa,7
20615407,Dowa,7
10201124,Karonga,8
10201125,Karonga,8
10201126,Karonga,8
10201127,Karonga,8
10201128,Karonga,8
10201129,Karonga,8
10201137,Karonga,8
10201210,Karonga,8
10201247,Karonga,8
10201442,Karonga,8
10201688,Karonga,8
10202129,Karonga,8
10202130,Karonga,8
10202131,Karonga,8
10202514,Karonga,8
10203013,Karonga,8
10203085,Karonga,8
10203130,Karonga,8
10203131,Karonga,8
10203132,Karonga,8
10203133,Karonga,8
10203134,Karonga,8
10203135,Karonga,8
10203136,Karonga,8
10203137,Karonga,8
10203176,Karonga,8
10203221,Karonga,8
10203623,Karonga,8
10203744,Karonga,8
10204101,Karonga,8
10204136,Karonga,8
10204137,Karonga,8
10204138,Karonga,8
10204139,Karonga,8
10204140,Karonga,8
10204141,Karonga,8
10204322,Karonga,8
10204453,Karonga,8
10204586,Karonga,8
10204723,Karonga,8
10205141,Karonga,8
10205142,Karonga,8
10205143,Karonga,8
10205144,Karonga,8
10205202,Karonga,8
10205507,Karonga,8
10220027,Karonga,8
10220103,Karonga,8
10220143,Karonga,8
10220144,Karonga,8
10220145,Karonga,8
10220146,Karonga,8
10220147,Karonga,8
10220521,Karonga,8
10220705,Karonga,8
20101014,Kasungu,9
20101237,Kasungu,9
20101255,Kasungu,9
20101256,Kasungu,9
20101387,Kasungu,9
20102238,Kasungu,9
20102257,Kasungu,9
20102311,Kasungu,9
20103239,Kasungu,9
20103258,Kasungu,9
20103365,Kasungu,9
20104240,Kasungu,9
20105073,Kasungu,9
20105181,Kasungu,9
20105259,Kasungu,9
20105260,Kasungu,9
20106042,Kasungu,9
20106241,Kasungu,9
20106242,Kasungu,9
20106261,Kasungu,9
20107243,Kasungu,9
20107262,Kasungu,9
20107263,Kasungu,9
20107490,Kasungu,9
20107615,Kasungu,9
20108264,Kasungu,9
20108739,Kasungu,9
20109244,Kasungu,9
20109245,Kasungu,9
20109265,Kasungu,9
20109486,Kasungu,9
20109653,Kasungu,9
20110170,Kasungu,9
20110246,Kasungu,9
20110266,Kasungu,9
20110267,Kasungu,9
20110268,Kasungu,9
20110620,Kasungu,9
20111107,Kasungu,9
20111269,Kasungu,9
20111270,Kasungu,9
20111271,Kasungu,9
20111530,Kasungu,9
20111718,Kasungu,9
20112247,Kasungu,9
20112272,Kasungu,9
20112273,Kasungu,9
20112274,Kasungu,9
20112290,Kasungu,9
20112334,Kasungu,9
20112661,Kasungu,9
20113112,Kasungu,9
20113248,Kasungu,9
20113275,Kasungu,9
20113276,Kasungu,9
20113529,Kasungu,9
20115249,Kasungu,9
20115434,Kasungu,9
20119250,Kasungu,9
20120081,Kasungu,9
20120251,Kasungu,9
20120277,Kasungu,9
20120278,Kasungu,9
20121252,Kasungu,9
20121253,Kasungu,9
20122254,Kasungu,9
20123255,Kasungu,9
20123256,Kasungu,9
20123257,Kasungu,9
20124258,Kasungu,9
20126259,Kasungu,9
20127260,Kasungu,9
30106535,Lake Malombe,10
10404178,Lake malawi,11
10601220,Lake malawi,11
10601223,Lake malawi,11
10601227,Lake malawi,11
20201279,Lake malawi,11
10601211,Likoma,12
10601212,Likoma,12
10601221,Likoma,12
10601222,Likoma,12
10601224,Likoma,12
10601225,Likoma,12
10601226,Likoma,12
10601228,Likoma,12
10601229,Likoma,12
10620230,Likoma,12
20601141,Lilongwe,13
20601349,Lilongwe,13
20601350,Lilongwe,13
20601351,Lilongwe,13
20601375,Lilongwe,13
