enum_old,population,enum
10506901,1390.798364,10507001
10506902,137.0483386,10507002
10506903,2429.557542,10507003
10506904,5.372676214,10507004
10506905,18.3668746,10507005
10506906,8.811067244,10507006
10506910,997.1308989,10507010
10507001,1641.096141,10507101
10507002,3802.463714,10507102
10507003,2365.925809,10507103
10507004,1055.129861,10507104
10507005,2815.696062,10507105
10507006,2052.230675,10507106
10507007,3189.286625,10507107
10507008,2405.55396,10507108
10507009,2533.428328,10507109
10507010,2383.54219,10507110
10507011,2404.647208,10507111
10507012,2261.432351,10507112
10507013,2565.253012,10507113
10507014,2050.550648,10507114
10507015,2815.524259,10507115
10507016,3205.708817,10507116
10507017,1834.776433,10507117
10507018,2305.402325,10507118
10507019,1356.704495,10507119
10507020,1600.434882,10507120
10507021,2248.615986,10507121
10507022,2518.882139,10507122
10507023,2974.735158,10507123
10507024,2678.090052,10507124
10507025,4462.405933,10507125
10507026,2654.446497,10507126
10507027,2856.82387,10507127
10507028,3338.43076,10507128
10507029,2430.722705,10507129
10507030,976.8444003,10507130
10507801,2640.420787,10507901
10507802,1466.900024,10507902
10507902,482.6268872,10508002
10508001,281.243702,10508101
10508002,2567.704322,10508102
10508003,1958.282469,10508103
10508004,2391.932187,10508104
10508005,3146.383112,10508105
10508006,4834.788078,10508106
10508007,2904.369919,10508107
10508008,2630.503991,10508108
10508009,1387.571978,10508109
10508010,2822.474203,10508110
10508011,1689.223915,10508111
10508012,2777.409979,10508112
10508013,4662.466337,10508113
10508014,1986.367295,10508114
10508015,4280.513184,10508115
10508016,2248.497539,10508116
10508017,2102.334467,10508117
10508905,119.1711828,10509005
10508906,1614.850223,10509006
10509001,1991.422171,10509101
10509002,2227.735512,10509102
10509003,757.2726061,10509103
10509004,3277.363524,10509104
10509005,2736.001958,10509105
10509006,1933.505294,10509106
10509007,2045.751535,10509107
10509008,2250.152994,10509108
10509009,2660.198706,10509109
10509010,4460.5649,10509110
10509011,2143.70174,10509111
10509012,2198.007573,10509112
10509013,2316.573757,10509113
10509014,1839.678862,10509114
10509015,2702.269678,10509115
10509016,2559.238616,10509116
10509017,2453.416286,10509117
10509018,2886.235125,10509118
10509019,2549.298199,10509119
10509020,2199.775682,10509120
10509021,2949.209386,10509121
10509801,1992.346116,10509901
10509802,1407.141647,10509902
10510001,2533.676534,10510101
10510002,2916.46807,10510102
10510003,1412.021682,10510103
10510004,1852.165986,10510104
10510005,2013.699858,10510105
10510006,2152.834598,10510106
10510007,1274.954203,10510107
10510008,1677.771861,10510108
10510009,2206.749471,10510109
10510010,981.91977,10510110
10510011,2220.759474,10510111
10510012,1986.96089,10510112
10510013,2225.634029,10510113
10510014,1909.393256,10510114
10510015,1265.277039,10510115
10510016,2174.974565,10510116
